,DATAID,test_score,train_score,RNA_K,PROTEIN_K,TOP_RATIO
44,0,"{'acc': 0.9510204081632653, 'auc': 0.9516640288321164, 'fpr': array([0.        , 0.06911344, 1.        ]), 'tpr': array([0.        , 0.97145622, 1.        ]), 'mcc': 0.9028352821080783, 'tnr': 0.9308865586272641, 'ppv': 0.9326521133302369, 'f_score': 0.9516587677725119, 'ap': 0.9201963598161514, 'brier': 0.04897959183673469, 'sensitivity': 0.9714562167392357}",1.0,5,3,0.99
45,0,"{'acc': 0.9469387755102041, 'auc': 0.9481441063240643, 'fpr': array([0.        , 0.07533903, 1.        ]), 'tpr': array([0.        , 0.96734131, 1.        ]), 'mcc': 0.8941426787016525, 'tnr': 0.9246609743847313, 'ppv': 0.933422103861518, 'f_score': 0.9500790603117235, 'ap': 0.9199845760507533, 'brier': 0.053061224489795916, 'sensitivity': 0.9673413063477461}",1.0,5,4,0.93
46,0,"{'acc': 0.9507803121248499, 'auc': 0.9516889301667494, 'fpr': array([0.        , 0.06864198, 1.        ]), 'tpr': array([0.        , 0.96915888, 1.        ]), 'mcc': 0.9019462474024595, 'tnr': 0.931358024691358, 'ppv': 0.9371893357433349, 'f_score': 0.9529060418102459, 'ap': 0.9241317041109639, 'brier': 0.04921968787515006, 'sensitivity': 0.9691588785046729}",1.0,5,4,0.9450000000000001
47,0,"{'acc': 0.9464585834333733, 'auc': 0.9472776212780457, 'fpr': array([0.        , 0.07340788, 1.        ]), 'tpr': array([0.       , 0.9658444, 1.       ]), 'mcc': 0.8934952566382119, 'tnr': 0.926592124453087, 'ppv': 0.9309556470050298, 'f_score': 0.9480791618160652, 'ap': 0.9164452151939142, 'brier': 0.05354141656662665, 'sensitivity': 0.9658444022770398}",1.0,5,4,0.96
48,0,"{'acc': 0.9471788715486195, 'auc': 0.9481404433349513, 'fpr': array([0.        , 0.07528958, 1.        ]), 'tpr': array([0.        , 0.96942188, 1.        ]), 'mcc': 0.8952059523236644, 'tnr': 0.9247104247104247, 'ppv': 0.928604118993135, 'f_score': 0.9485741000467508, 'ap': 0.9155752995579961, 'brier': 0.05282112845138055, 'sensitivity': 0.9694218824653608}",1.0,5,4,0.975
49,0,"{'acc': 0.948859543817527, 'auc': 0.9497089497938395, 'fpr': array([0.        , 0.07327586, 1.        ]), 'tpr': array([0.        , 0.97111218, 1.        ]), 'mcc': 0.8986267613273966, 'tnr': 0.9267241379310345, 'ppv': 0.9294930875576037, 'f_score': 0.9498469507887921, 'ap': 0.9170478218156041, 'brier': 0.05114045618247299, 'sensitivity': 0.9711121810303323}",1.0,5,4,0.99
50,0,"{'acc': 0.9476590636254502, 'auc': 0.9489330002296417, 'fpr': array([0.        , 0.07707317, 1.        ]), 'tpr': array([0.        , 0.97163121, 1.        ]), 'mcc': 0.8962104914651108, 'tnr': 0.9229268292682927, 'ppv': 0.9286037053773158, 'f_score': 0.9496303142329019, 'ap': 0.9166661001538032, 'brier': 0.05234093637454982, 'sensitivity': 0.9716312056737588}",1.0,5,5,0.93
51,0,"{'acc': 0.9421368547418968, 'auc': 0.9438766848405402, 'fpr': array([0.        , 0.08689249, 1.        ]), 'tpr': array([0.        , 0.96992481, 1.        ]), 'mcc': 0.8853896997073053, 'tnr': 0.9131075110456554, 'ppv': 0.9210174029451138, 'f_score': 0.9448386358434424, 'ap': 0.908683777886551, 'brier': 0.05786314525810324, 'sensitivity': 0.9699248120300752}",1.0,5,5,0.9450000000000001
52,0,"{'acc': 0.9471788715486195, 'auc': 0.948705313216688, 'fpr': array([0.        , 0.07927129, 1.        ]), 'tpr': array([0.        , 0.97235239, 1.        ]), 'mcc': 0.8952432434118042, 'tnr': 0.9207287050713934, 'ppv': 0.9279964221824687, 'f_score': 0.9496567505720823, 'ap': 0.9165052051740148, 'brier': 0.05282112845138055, 'sensitivity': 0.9723523898781631}",1.0,5,5,0.96
53,0,"{'acc': 0.9471788715486195, 'auc': 0.948019759664521, 'fpr': array([0.        , 0.07444765, 1.        ]), 'tpr': array([0.        , 0.96879501, 1.        ]), 'mcc': 0.8951930401882336, 'tnr': 0.925552353506244, 'ppv': 0.9286700414173953, 'f_score': 0.9483082706766918, 'ap': 0.9152971419594585, 'brier': 0.05282112845138055, 'sensitivity': 0.9687950072011522}",1.0,5,5,0.975
54,0,"{'acc': 0.9572629051620648, 'auc': 0.9578740883886694, 'fpr': array([0.        , 0.05807087, 1.        ]), 'tpr': array([0.       , 0.9718706, 1.       ]), 'mcc': 0.9147734389450926, 'tnr': 0.9419291338582677, 'ppv': 0.9461433135554541, 'f_score': 0.9588344125809436, 'ap': 0.9339346366605039, 'brier': 0.042737094837935176, 'sensitivity': 0.9718706047819972}",1.0,5,5,0.99
55,0,"{'acc': 0.9543817527010804, 'auc': 0.955920200104557, 'fpr': array([0.        , 0.07205882, 1.        ]), 'tpr': array([0.        , 0.97976471, 1.        ]), 'mcc': 0.9097707925828753, 'tnr': 0.9279411764705883, 'ppv': 0.9340511440107672, 'f_score': 0.9563619660082683, 'ap': 0.9254744740426453, 'brier': 0.04561824729891957, 'sensitivity': 0.979764705882353}",1.0,5,6,0.93
